index,actual_name,mapping_address,lat,lng,email,medical_director,contact,current_distance,gmaps_url
1,BANGUI DISTRICT HOSPITAL,"BANGUI DISTRICT HOSPITAL, ILOCOS, ILOCOS NORTE",18.5334207,120.7618443,banguidh@gmail. com,"Dr. Elvin Chester S. Alcoriza, MHA",077-676-1158,Click the compass to find out!,https://www.google.com/maps/dir/?api=1
2,MARIANO MARCOS MEMORIAL HOSPITAL AND MEDICAL CENTER,"MARIANO MARCOS MEMORIAL HOSPITAL AND MEDICAL CENTER, ILOCOS, ILOCOS NORTE",18.0604061,120.5591422,mmmh_doh@yah oo.com,Dr. Maria Lourdes K. Otayza,"077-
7923144/6008000",Click the compass to find out!,https://www.google.com/maps/dir/?api=2
3,LAOAG CITY GENERAL HOSPITAL,"LAOAG CITY GENERAL HOSPITAL, ILOCOS, ILOCOS NORTE, Laoag City",18.1883839,120.577455,lcgh_lc@yahoo.c om,Dr. Eliezer John P. Asuncion,077-670-6304,Click the compass to find out!,https://www.google.com/maps/dir/?api=3
4,GOV. ROQUE B. ABLAN SR. MEMORIAL HOSPITAL,"GOV. ROQUE B. ABLAN SR. MEMORIAL HOSPITAL, ILOCOS, ILOCOS NORTE, Laoag City",18.1993459,120.6014423,pho_grbasmh@ya hoo.com,Dr. Roger G. Braceros,"077-
7731770/7720303",Click the compass to find out!,https://www.google.com/maps/dir/?api=4
5,ILOCOS SUR DISTRICT HOSPITAL - BESSANG PASS CERVANTES,"ILOCOS SUR DISTRICT HOSPITAL - BESSANG PASS CERVANTES, ILOCOS, ILOCOS SUR",16.9569444,120.6497222,bessangpassmem orialhospital@yah oo.com,Dr.Theresa Basabas - OIC,0939-844-4341,Click the compass to find out!,https://www.google.com/maps/dir/?api=5
6,ILOCOS SUR DISTRICT HOSPITAL - NARVACAN,"ILOCOS SUR DISTRICT HOSPITAL - NARVACAN, ILOCOS, ILOCOS SUR",17.4183565,120.4697882,cisdhhospital@ya hoo.com,Dr. Ronald Remegio T. Tobias,077-604-0271,Click the compass to find out!,https://www.google.com/maps/dir/?api=6
7,ILOCOS SUR DISTRICT HOSPITAL - TAGUDIN,"ILOCOS SUR DISTRICT HOSPITAL - TAGUDIN, ILOCOS, ILOCOS SUR",16.9387501,120.4703258,tagudin_hospital @yahoo.com,Dr. Oseas Diasen,077-748-7015,Click the compass to find out!,https://www.google.com/maps/dir/?api=7
8,ILOCOS SUR DISTRICT HOSPITAL- MAGSINGAL,"ILOCOS SUR DISTRICT HOSPITAL- MAGSINGAL, ILOCOS, ILOCOS SUR",17.6893939,120.4278186,hospitalmagsinga ldistrict@yahoo.c om,Dr. Susan Seguban,77-726-3514,Click the compass to find out!,https://www.google.com/maps/dir/?api=8
9,ILOCOS SUR DISTRICT HOSPITAL - SINAIT,"ILOCOS SUR DISTRICT HOSPITAL - SINAIT, ILOCOS, ILOCOS SUR",17.8543394,120.4547761,"isdhsinait@yahoo
.com.ph",Dr. Bernardino De Gracia III,77-728-8094,Click the compass to find out!,https://www.google.com/maps/dir/?api=9
10,ILOCOS SUR DISTRICT HOSPITAL - STA. LUCIA,"ILOCOS SUR DISTRICT HOSPITAL - STA. LUCIA, ILOCOS, ILOCOS SUR",17.1512894,120.5385544,staluciadistrictho spital@yahoo.co m,Dr. Leticia G. de Vera,"0920-914-1967;
0919-625-1663",Click the compass to find out!,https://www.google.com/maps/dir/?api=10
11,CITY OF CANDON HOSPITAL,"CITY OF CANDON HOSPITAL, ILOCOS, ILOCOS SUR, Candon City",17.1847357,120.4455135,cityofcandonhosp ital@yahoo.com,Dr. Archimedes Mercado,077-7425675,Click the compass to find out!,https://www.google.com/maps/dir/?api=11
12,ILOCOS SUR PROVINCIAL HOSPITAL GABRIELA SILANG,"ILOCOS SUR PROVINCIAL HOSPITAL GABRIELA SILANG, ILOCOS, ILOCOS SUR, Vigan City",17.5535027,120.3797408,pho_gabriela@ya hoo.com.ph,Dr. Trina Tabboga- Talaga,"077-
7227339/7227099
6741309/6741192
loc 109",Click the compass to find out!,https://www.google.com/maps/dir/?api=12
13,BACNOTAN DISTRICT HOSPITAL,"BACNOTAN DISTRICT HOSPITAL, ILOCOS, LA UNION",16.7253771,120.3509459,bdh_bacnotan@y ahoo.com,Dr. Zenserly D. Pagaduan,072-607-4044,Click the compass to find out!,https://www.google.com/maps/dir/?api=13
14,BALAOAN DISTRICT HOSPITAL,"BALAOAN DISTRICT HOSPITAL, ILOCOS, LA UNION",16.7762214,120.4125226,bldh_balaoan@ya hoo.com,Dr. Mark Anthony S. Tomboc,072-603-0280,Click the compass to find out!,https://www.google.com/maps/dir/?api=14
