REGION,PROVINCE,MUNICIPALITY / CITY,NAME OF FACILITY,OWNERSHIP (PUBLIC / PRIVATE),TYPE OF TESTING,LICENSE VALIDITY
NCR,Metro Manila,Muntilupa City,Asian Hospital and Medical Center,PRIVATE,rRT PCR,01/01/22 - 12/31/22
NCR,Metro Manila,City of Manila,Chinese General Hospital,PRIVATE,rRT PCR,01/08/22 - 12/31/22
NCR,Metro Manila,Mandaluyong City,Detoxicare Molecular Diagnostics Laboratory,PRIVATE,rRT PCR,01/01/22 - 12/31/22
NCR,Metro Manila,Caloocan City,Dr. Jose N. Rodriguez Memorial Hospital and Sanitarium (Tala),PUBLIC,Cartridge - Based PCR,01/01/22 - 12/31/22
NCR,Metro Manila,Caloocan City,Dr. Jose N. Rodriguez Memorial Hospital and Sanitarium (Tala),PUBLIC,rRT PCR,01/01/22 - 12/31/22
NCR,Metro Manila,Quezon City,Lung Center of the Philippines (LCP),PUBLIC,rRT PCR,01/01/22 - 12/31/22
NCR,Metro Manila,Quezon City,Lung Center of the Philippines (GeneXpert),PUBLIC,Cartridge - Based PCR,01/01/22 - 12/31/22
NCR,Metro Manila,Makati City,Makati Medical Center,PRIVATE,rRT PCR,01/01/22 - 12/31/22
NCR,Metro Manila,Marikina City,Marikina Molecular Diagnostic laboratory,PUBLIC,rRT PCR,01/01/22 - 12/31/22
NCR,Metro Manila,Quezon City,Philippine Genome Center UP-Diliman (NHB),PUBLIC,rRT PCR,01/01/22 - 12/31/22
NCR,Metro Manila,Mandaluyong City,Philippine Red Cross - National Blood Center,PRIVATE,rRT PCR,01/01/22 - 12/31/22
NCR,Metro Manila,Mandaluyong City,Philippine Red Cross Logistics and Multipurpose Center,PRIVATE,rRT PCR,01/01/22 - 12/31/22
NCR,Metro Manila,City of Manila,Philippine Red Cross - Port Area,PRIVATE,rRT PCR,01/01/22 - 12/31/22
NCR,Metro Manila,Muntinlupa City,"Research Institute for Tropical Medicine, Inc. (RITM)",PUBLIC,rRT PCR,01/01/22 - 12/31/22
NCR,Metro Manila,City of Manila,San Lazaro Hospital (SLH),PUBLIC,rRT PCR,01/01/22 - 12/31/22
NCR,Metro Manila,Makati City,"Singapore Diagnostic, Inc.",PRIVATE,rRT PCR,01/01/22 - 12/31/22
NCR,Metro Manila,Taguig City,St. Luke's Medical Center - BGC (HB),PRIVATE,rRT PCR,01/01/22 - 12/31/22
NCR,Metro Manila,Taguig City,St. Luke's Medical Center - BGC (HB),PRIVATE,Cartridge - Based PCR,01/01/22 - 12/31/22
NCR,Metro Manila,Quezon City,St. Luke's Medical Center- QC,PRIVATE,rRT PCR,01/01/22 - 12/31/22
NCR,Metro Manila,Quezon City,St. Luke's Medical Center- QC,PRIVATE,Cartridge - Based PCR,01/01/22 - 12/31/22
NCR,Metro Manila,Pasig City,The Medical City - Ortigas,PRIVATE,rRT PCR,01/01/22 - 12/31/22
NCR,Metro Manila,Mandaluyong City,"Safeguard DNA Diagnostic, Inc.",PRIVATE,rRT PCR,01/01/22 - 12/31/22
NCR,Metro Manila,City of Manila,Tondo Medical Center (GeneXpert),PUBLIC,Cartridge - Based PCR,01/01/22 - 12/31/22
NCR,Metro Manila,Makati City,Tropical Disease Foundation. Inc.,PRIVATE,rRT PCR,01/01/22 - 12/31/22
NCR,Metro Manila,Quezon City,Hi-Precision Diagnostic Center (QC),PRIVATE,rRT PCR,01/01/22 - 12/31/22
NCR,Metro Manila,Mandaluyong City,San Miguel Foundation Testing Laboratory,PRIVATE,rRT PCR,01/01/22 - 12/31/22
NCR,Metro Manila,Quezon City,National Kidney and Transplant Institute (NKTI),PUBLIC,rRT PCR,01/01/22 - 12/31/22
NCR,Metro Manila,Quezon City,National Kidney and Transplant Institute (NKTI),PUBLIC,Cartridge - Based PCR,01/01/22 - 12/31/22
NCR,Metro Manila,Quezon City,Fe Del Mundo Medical Center,PRIVATE,rRT PCR,01/01/22 - 12/31/22
NCR,Metro Manila,Mandaluyong City,"Health Delivery Systems, Inc.",PRIVATE,rRT PCR,01/01/22 - 12/31/22
NCR,Metro Manila,Quezon City,Veterans Memorial Medical Center,PUBLIC,rRT PCR,01/01/22 - 12/31/22
NCR,Metro Manila,Quezon City,Philippine Heart Center,PUBLIC,Cartridge - Based PCR,01/01/22 - 12/31/22
NCR,Metro Manila,Quezon City,De Los Santos Medical Center,PRIVATE,rRT PCR,01/01/22 - 12/31/22
NCR,Metro Manila,Quezon City,Victoriano Luna Medical Center - (AFIRMS),PUBLIC,rRT PCR,01/01/22 - 12/31/22
NCR,Metro Manila,Quezon City,Philippine Children's Medical Center,PUBLIC,rRT PCR,01/01/22 - 12/31/22
NCR,Metro Manila,Las Pinas City,University of Perpetual Help Dalta Medical Center Inc.,PRIVATE,rRT PCR,01/01/22 - 12/31/22
NCR,Metro Manila,Makati City,AL Molecular Diagnostic Laboratory,PRIVATE,rRT PCR,01/01/22 - 12/31/22
NCR,Metro Manila,City of Manila,Amosup Seamen's Hospital,PRIVATE,Cartridge - Based PCR,01/01/22 - 12/31/22
NCR,Metro Manila,Valenzuela City,Valenzuela Hope Molecular Laboratory,PUBLIC,rRT PCR,01/01/22 - 12/31/22
NCR,Metro Manila,Pasig City,Pasig City Children's Hospital - Child's Hope,PUBLIC,rRT PCR,01/01/22 - 12/31/22
NCR,Metro Manila,Las Pinas City,Las Piñas General Hospital and Salellite Trauma Center,PUBLIC,rRT PCR,01/01/22 - 12/31/22
NCR,Metro Manila,Las Pinas City,Las Piñas General Hospital and Salellite Trauma Center,PUBLIC,Cartridge - Based PCR,01/01/22 - 12/31/22
NCR,Metro Manila,Makati City,Kaiser Medical Center Inc.,PRIVATE,rRT PCR,01/01/22 - 12/31/22
NCR,Metro Manila,Taguig City,Taguig City Molecular Laboratory,PUBLIC,rRT PCR,01/01/22 - 12/31/22
NCR,Metro Manila,City of Manila,First Aide Diagnostic Center,PRIVATE,rRT PCR,01/01/22 - 12/31/22
NCR,Metro Manila,Pasay City,The Lord's Grace Medical and Industrial Clinic,PRIVATE,rRT PCR,01/01/22 - 12/31/22
NCR,Metro Manila,City of Manila,Manila Doctors Hospital,PRIVATE,rRT PCR,01/01/22 - 12/31/22
NCR,Metro Manila,City of Manila,Sta. Ana Hospital,PUBLIC,rRT PCR,01/01/22 - 12/31/22
NCR,Metro Manila,City of Manila,Sta. Ana Hospital,PUBLIC,Cartridge - Based PCR,01/01/22 - 12/31/22
NCR,Metro Manila,Parañaque City,The Premier Molecular Diagnostics,PRIVATE,rRT PCR,01/01/22 - 12/31/22
NCR,Metro Manila,Taguig City,Army General Hospital Molecular Laboratory,PUBLIC,rRT PCR,01/01/22 - 12/31/22
