,REGION,PROVINCE,CITY,LOCATION,OWNERSHIP CLASS.,,NAME OF HOSPITAL,ABC,MEDICAL DIRECTOR/ CHIEF OF HOSPITAL,CLASS,SERVCE CAPABILI TY,CONTACT NOS.,E-MAIL ADDRESS,FAX NO.,MOBILE NO.,REMARKS,Actual Hospital Name
1,ILOCOS,ILOCOS NORTE,,"Barangay Abaca, Bangui, Ilocos Norte",GOVT,Province,BANGUI DISTRICT HOSPITAL,25,"Dr. Elvin Chester S. Alcoriza, MHA",General,Level 1,077-676-1158,banguidh@gmail. com,,,,BANGUI DISTRICT HOSPITAL
2,ILOCOS,ILOCOS NORTE,,"Barangay 6, San Julian, Batac, Ilocos Norte",GOVT,DOH Ret.,MARIANO MARCOS MEMORIAL HOSPITAL AND MEDICAL CENTER,200,Dr. Maria Lourdes K. Otayza,General,Level 3,"077-
7923144/6008000",mmmh_doh@yah oo.com,,,,MARIANO MARCOS MEMORIAL HOSPITAL AND MEDICAL CENTER
3,ILOCOS,ILOCOS NORTE,Laoag City,"Airport Road, Barangay 46 Nalbo, Laoag City, Ilocos Norte",GOVT,City,LAOAG CITY GENERAL HOSPITAL,50,Dr. Eliezer John P. Asuncion,General,Level 1,077-670-6304,lcgh_lc@yahoo.c om,,,,LAOAG CITY GENERAL HOSPITAL
4,ILOCOS,ILOCOS NORTE,Laoag City,"Brgy. 23 San Matias, P. Gomez St., Laoag City, Ilocos Norte",GOVT,Province,GOV. ROQUE B. ABLAN SR. MEMORIAL HOSPITAL,100,Dr. Roger G. Braceros,General,Level 2,"077-
7731770/7720303",pho_grbasmh@ya hoo.com,,,,GOV. ROQUE B. ABLAN SR. MEMORIAL HOSPITAL
5,ILOCOS,ILOCOS SUR,,"National Road, Cervantes, Ilocos Sur",GOVT,Province,ILOCOS SUR DISTRICT HOSPITAL - BESSANG PASS CERVANTES,25,Dr.Theresa Basabas - OIC,General,Level 1,0939-844-4341,bessangpassmem orialhospital@yah oo.com,,,,ILOCOS SUR DISTRICT HOSPITAL - BESSANG PASS CERVANTES
6,ILOCOS,ILOCOS SUR,,"Paratong, Narvacan, Ilocos Sur",GOVT,Province,ILOCOS SUR DISTRICT HOSPITAL - NARVACAN,50,Dr. Ronald Remegio T. Tobias,General,Level 1,077-604-0271,cisdhhospital@ya hoo.com,,,,ILOCOS SUR DISTRICT HOSPITAL - NARVACAN
7,ILOCOS,ILOCOS SUR,,"Bio, Tagudin, Ilocos Sur",GOVT,Province,ILOCOS SUR DISTRICT HOSPITAL - TAGUDIN,50,Dr. Oseas Diasen,General,Level 1,077-748-7015,tagudin_hospital @yahoo.com,"077-748-
7050",,,ILOCOS SUR DISTRICT HOSPITAL - TAGUDIN
8,ILOCOS,ILOCOS SUR,,"Sta. Monica, Magsingal, Ilocos Sur",GOVT,Province,ILOCOS SUR DISTRICT HOSPITAL- MAGSINGAL,25,Dr. Susan Seguban,General,Level 1,77-726-3514,hospitalmagsinga ldistrict@yahoo.c om,,,,ILOCOS SUR DISTRICT HOSPITAL- MAGSINGAL
9,ILOCOS,ILOCOS SUR,,"Maharlika Highway, Curtin, Sinait, Ilocos Sur",GOVT,Province,ILOCOS SUR DISTRICT HOSPITAL - SINAIT,25,Dr. Bernardino De Gracia III,General,Level 1,77-728-8094,"isdhsinait@yahoo
.com.ph",,,,ILOCOS SUR DISTRICT HOSPITAL - SINAIT
10,ILOCOS,ILOCOS SUR,,"National Highway, San Juan, Sta. Lucia, Ilocos Sur",GOVT,Province,ILOCOS SUR DISTRICT HOSPITAL - STA. LUCIA,25,Dr. Leticia G. de Vera,General,Level 1,"0920-914-1967;
0919-625-1663",staluciadistrictho spital@yahoo.co m,,,,ILOCOS SUR DISTRICT HOSPITAL - STA. LUCIA
11,ILOCOS,ILOCOS SUR,Candon City,"San Nicolas, Candon City, Ilocos Sur",GOVT,,CITY OF CANDON HOSPITAL,25,Dr. Archimedes Mercado,General,Level 2,077-7425675,cityofcandonhosp ital@yahoo.com,,,,CITY OF CANDON HOSPITAL
12,ILOCOS,ILOCOS SUR,Vigan City,"Quirino Blvd., Tamag, Vigan City, Ilocos Sur",GOVT,Province,ILOCOS SUR PROVINCIAL HOSPITAL GABRIELA SILANG,100,Dr. Trina Tabboga- Talaga,General,Level 2,"077-
7227339/7227099
6741309/6741192
loc 109",pho_gabriela@ya hoo.com.ph,,,,ILOCOS SUR PROVINCIAL HOSPITAL GABRIELA SILANG
13,ILOCOS,LA UNION,,"Poblacion, Bacnotan, La Union",GOVT,Province,BACNOTAN DISTRICT HOSPITAL,25,Dr. Zenserly D. Pagaduan,General,Level 1,072-607-4044,bdh_bacnotan@y ahoo.com,"072-607-
1417",,,BACNOTAN DISTRICT HOSPITAL
