region,province,city,complete_address,owner_ship,name_of_clinic,no._of_station,head_of_the_facility,contact_number,e_mail_address,validity,remarks,mapping_address,lat,lng,current_distance,gmaps_url,index
ILOCOS,PANGASINAN,NaN,"Ambalangandalin, Brgy. Bolaney, Alaminos,
Pangasinan",GOVT,ALAMINOS CITY DIALYSIS CLINIC (new),13,Dr. Angeline Asuncion,"075-6541142 /
09215085670",cityhealthalaminos00@gmail.com,"Jan. 22, 2021 to
Dec. 31, 2023",NaN,"Ambalangandalin, Brgy. Bolaney, Alaminos,
Pangasinan",16.1580057,120.461686,Click the compass to find out!,https://www.google.com/maps/dir/?api=1,1.0
CENTRAL LUZON,BULACAN,NaN,"Brgy. Sta. Rosa II, Marilao, Bulacan",GOVT,MARILAO DIALYSIS CENTER,10,Dr. Rocelia Gonzales,"0932-1796238 /
0919-2236940 /
044-8962931",NaN,"Jan. 14, 2022-Dec.
31, 2024",NaN,"Brgy. Sta. Rosa II, Marilao, Bulacan",14.781002,120.9675551,Click the compass to find out!,https://www.google.com/maps/dir/?api=1,2.0
CALABARZON,RIZAL,NaN,"147 J.P. Rizal Avenue, Brgy. Balite, Rodriguez, Rizal",GOVT,MUNICIPAL DIALYSIS CENTER OF RODRIGUEZ  (new),5,Dr. Hazel M. Martolo,02-8654-3336,mhorodriguezoffical@yahoo.com,"July 27, 2021-Dec.
31, 2023",NaN,"147 J.P. Rizal Avenue, Brgy. Balite, Rodriguez, Rizal",14.7334055,121.1457006,Click the compass to find out!,https://www.google.com/maps/dir/?api=1,3.0
CENTRAL VISAYAS,CEBU,Cebu City,"Block 27, North Reclamation Area, Cebu City, Cebu",GOVT,CCMC DIALYSIS CENTER,5,Dr. Anton Oliver A. Reposar II,032-2540517,cebucitymedicalcenterofficial@yahoo.com,"Oct. 19, 2020 to
Dec. 31, 2022",NaN,"Block 27, North Reclamation Area, Cebu City, Cebu",10.3078656,123.915058,Click the compass to find out!,https://www.google.com/maps/dir/?api=1,4.0
EASTERN VISAYAS,LEYTE,Baybay City,"A. Mabini St. Zone 4, Poblacion, Baybay City, Leyte",GOVT,BAYBAY CITY MEDICAL DIAGNOSTIC AND DIALYSIS CENTER,15,Dr. Rodrigo R. Capahi,"053-
5638260/091710
70006",bcmddcbaybaygmail.com,"Jan.1, 2022 to
Dec.31, 2024",NaN,"A. Mabini St. Zone 4, Poblacion, Baybay City, Leyte",14.5656805,121.0320766,Click the compass to find out!,https://www.google.com/maps/dir/?api=1,5.0
SOCCSKSARGEN,SULTAN KUDARAT,NaN,"National Highway, Kalawag 2, District I,
Isulan, Sultan Kudarat",GOVT,SULTAN KUDARAT PROVINCIAL HOSPITAL  (new),10,Dr. Sarina Utto- Abo,0927-5181042,NaN,"Dec. 21, 2021-Dec.
31, 2023",NaN,"National Highway, Kalawag 2, District I,
Isulan, Sultan Kudarat",6.6347309,124.6054345,Click the compass to find out!,https://www.google.com/maps/dir/?api=1,6.0
NCR,NaN,Manila,"Gen. Solano Street, Malaca�ang Complex, San Miguel, Manila",GOVT,"JOSE R. REYES MEMORIAL MEDICAL CENTER-NATIONAL CENTER FOR GERIATRIC
HEALTH",10,Dr. Yoradyl D. Sunga,82540244,josereyesmedical@yahoo.com,"Mar. 4, 2020 to
Dec. 31, 2022",NaN,"Gen. Solano Street, Malaca�ang Complex, San Miguel, Manila",14.5922073,120.9896567,Click the compass to find out!,https://www.google.com/maps/dir/?api=1,7.0
NCR,NaN,Pasig City,"East Bank Road cor. Amang Rodriguez, Brgy. Manggahan, Pasig City",GOVT,MANGGAHAN SUPERHEALTH DIALYSIS CENTER,8,Dr. Marichu P. Ybiernas,"6431111/091669
28092/6427754",imdocensa@yahoo.com/manggahansuperhealthdialysis@gmail.com,"Jan. 1, 2022 to
Dec. 31, 2024",NaN,"East Bank Road cor. Amang Rodriguez, Brgy. Manggahan, Pasig City",14.5990635,121.0912831,Click the compass to find out!,https://www.google.com/maps/dir/?api=1,8.0
NCR,NaN,Taguig City,"Ipil-Ipil St., North Signal, Taguig",GOVT,TAGUIG CITY DIALYSIS CENTER,15,Dr. Rommel P. Tolentino,"5557873/091755
03753",NaN,"Jan. 1, 2022 to
Dec. 31, 2024",NaN,"Ipil-Ipil St., North Signal, Taguig",14.5150756,121.0555395,Click the compass to find out!,https://www.google.com/maps/dir/?api=1,9.0
ILOCOS,ILOCOS NORTE,NaN,"Unit 7 Bldg. A Valdez Center. National Highway, San Nicolas, Ilocos Norte",PVT,"NORTHERN RENAL HEALTH
INC. (new)",13,Dr. Kristianne Rachel P. Medina- Liabres,"09609353030/09
171262028",nrhdialysiscenter@gmail.com,"Nov. 19, 2021 to
Dec. 31, 2023",NaN,"Unit 7 Bldg. A Valdez Center. National Highway, San Nicolas, Ilocos Norte",18.1795957,120.5904821,Click the compass to find out!,https://www.google.com/maps/dir/?api=1,10.0
