REGION,PROVINCE,CITY,LOCATION,OWNERSHIP_CLASS,Unnamed: 6,NAME OF HOSPITAL,ABC,MEDICAL_DIRECTOR,CLASS,SERVCE CAPABILI TY,CONTACT,EMAIL,FAX,MOBILE,REMARKS,Actual Hospital Name,Mapping_Address,lat,lng
ILOCOS,ILOCOS NORTE,,"Barangay Abaca, Bangui, Ilocos Norte",GOVT,Province,BANGUI DISTRICT HOSPITAL,25,"Dr. Elvin Chester S. Alcoriza, MHA",General,Level 1,077-676-1158,banguidh@gmail.com,NaN,NaN,NaN,BANGUI DISTRICT HOSPITAL,"BANGUI DISTRICT HOSPITAL, ILOCOS, ILOCOS NORTE",18.5334207,120.7618443
ILOCOS,ILOCOS NORTE,,"Barangay 6, San Julian, Batac, Ilocos Norte",GOVT,DOH Ret.,MARIANO MARCOS MEMORIAL HOSPITAL AND MEDICAL CENTER,200,Dr. Maria Lourdes K. Otayza,General,Level 3,"077-
7923144/6008000",mmmh_doh@yahoo.com,NaN,NaN,NaN,MARIANO MARCOS MEMORIAL HOSPITAL AND MEDICAL CENTER,"MARIANO MARCOS MEMORIAL HOSPITAL AND MEDICAL CENTER, ILOCOS, ILOCOS NORTE",18.0604061,120.5591422
ILOCOS,ILOCOS NORTE,Laoag City,"Airport Road, Barangay 46 Nalbo, Laoag City, Ilocos Norte",GOVT,City,LAOAG CITY GENERAL HOSPITAL,50,Dr. Eliezer John P. Asuncion,General,Level 1,077-670-6304,lcgh_lc@yahoo.com,NaN,NaN,NaN,LAOAG CITY GENERAL HOSPITAL,"LAOAG CITY GENERAL HOSPITAL, ILOCOS, ILOCOS NORTE, Laoag City",18.1883839,120.577455
ILOCOS,ILOCOS NORTE,Laoag City,"Brgy. 23 San Matias, P. Gomez St., Laoag City, Ilocos Norte",GOVT,Province,GOV. ROQUE B. ABLAN SR. MEMORIAL HOSPITAL,100,Dr. Roger G. Braceros,General,Level 2,"077-
7731770/7720303",pho_grbasmh@yahoo.com,NaN,NaN,NaN,GOV. ROQUE B. ABLAN SR. MEMORIAL HOSPITAL,"GOV. ROQUE B. ABLAN SR. MEMORIAL HOSPITAL, ILOCOS, ILOCOS NORTE, Laoag City",18.1993459,120.6014423
ILOCOS,ILOCOS SUR,,"National Road, Cervantes, Ilocos Sur",GOVT,Province,ILOCOS SUR DISTRICT HOSPITAL - BESSANG PASS CERVANTES,25,Dr.Theresa Basabas - OIC,General,Level 1,0939-844-4341,bessangpassmemorialhospital@yahoo.com,NaN,NaN,NaN,ILOCOS SUR DISTRICT HOSPITAL - BESSANG PASS CERVANTES,"ILOCOS SUR DISTRICT HOSPITAL - BESSANG PASS CERVANTES, ILOCOS, ILOCOS SUR",16.9569444,120.6497222
ILOCOS,ILOCOS SUR,,"Paratong, Narvacan, Ilocos Sur",GOVT,Province,ILOCOS SUR DISTRICT HOSPITAL - NARVACAN,50,Dr. Ronald Remegio T. Tobias,General,Level 1,077-604-0271,cisdhhospital@yahoo.com,NaN,NaN,NaN,ILOCOS SUR DISTRICT HOSPITAL - NARVACAN,"ILOCOS SUR DISTRICT HOSPITAL - NARVACAN, ILOCOS, ILOCOS SUR",17.4183565,120.4697882
ILOCOS,ILOCOS SUR,,"Bio, Tagudin, Ilocos Sur",GOVT,Province,ILOCOS SUR DISTRICT HOSPITAL - TAGUDIN,50,Dr. Oseas Diasen,General,Level 1,077-748-7015,tagudin_hospital@yahoo.com,"077-748-
7050",NaN,NaN,ILOCOS SUR DISTRICT HOSPITAL - TAGUDIN,"ILOCOS SUR DISTRICT HOSPITAL - TAGUDIN, ILOCOS, ILOCOS SUR",16.9387501,120.4703258
ILOCOS,ILOCOS SUR,,"Sta. Monica, Magsingal, Ilocos Sur",GOVT,Province,ILOCOS SUR DISTRICT HOSPITAL- MAGSINGAL,25,Dr. Susan Seguban,General,Level 1,77-726-3514,hospitalmagsingaldistrict@yahoo.com,NaN,NaN,NaN,ILOCOS SUR DISTRICT HOSPITAL- MAGSINGAL,"ILOCOS SUR DISTRICT HOSPITAL- MAGSINGAL, ILOCOS, ILOCOS SUR",17.6893939,120.4278186
ILOCOS,ILOCOS SUR,,"Maharlika Highway, Curtin, Sinait, Ilocos Sur",GOVT,Province,ILOCOS SUR DISTRICT HOSPITAL - SINAIT,25,Dr. Bernardino De Gracia III,General,Level 1,77-728-8094,"isdhsinait@yahoo
.com.ph",NaN,NaN,NaN,ILOCOS SUR DISTRICT HOSPITAL - SINAIT,"ILOCOS SUR DISTRICT HOSPITAL - SINAIT, ILOCOS, ILOCOS SUR",17.8543394,120.4547761
ILOCOS,ILOCOS SUR,,"National Highway, San Juan, Sta. Lucia, Ilocos Sur",GOVT,Province,ILOCOS SUR DISTRICT HOSPITAL - STA. LUCIA,25,Dr. Leticia G. de Vera,General,Level 1,"0920-914-1967;
0919-625-1663",staluciadistricthospital@yahoo.com,NaN,NaN,NaN,ILOCOS SUR DISTRICT HOSPITAL - STA. LUCIA,"ILOCOS SUR DISTRICT HOSPITAL - STA. LUCIA, ILOCOS, ILOCOS SUR",17.1512894,120.5385544
ILOCOS,ILOCOS SUR,Candon City,"San Nicolas, Candon City, Ilocos Sur",GOVT,NaN,CITY OF CANDON HOSPITAL,25,Dr. Archimedes Mercado,General,Level 2,077-7425675,cityofcandonhospital@yahoo.com,NaN,NaN,NaN,CITY OF CANDON HOSPITAL,"CITY OF CANDON HOSPITAL, ILOCOS, ILOCOS SUR, Candon City",17.1847357,120.4455135
